Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Override,Affiliation,LiftType
"Female Bench Only Classic Open (24 – 39 years) 64KG",58,64,24,39,F,0,80,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 72KG",64,72,24,39,F,0,90,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 84KG",72,84,24,39,F,0,100,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 100KG",84,100,24,39,F,0,105,0,0,1,,4,4
"Female Bench Only Classic Open (24 – 39 years) 100+KG",100,500,24,39,F,0,110,0,0,1,,4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 48KG",1,48,40,44,F,0,50,0,0,1,[164],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 53KG",48,53,40,44,F,0,55,0,0,1,[174],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 58KG",53,58,40,44,F,0,60,0,0,1,[184],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 64KG",58,64,40,44,F,0,65,0,0,1,[194],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 72KG",64,72,40,44,F,0,70,0,0,1,[204],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 84KG",72,84,40,44,F,0,75,0,0,1,[214],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 100KG",84,100,40,44,F,0,80,0,0,1,[224],4,4
"Female Bench Only Classic Masters 1 (40 – 44 years) 100+KG",100,500,40,44,F,0,85,0,0,1,[234],4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 48KG",1,48,45,49,F,0,45,0,0,1,"[164,244]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 53KG",48,53,45,49,F,0,50,0,0,1,"[174,254]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 58KG",53,58,45,49,F,0,55,0,0,1,"[184,264]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 64KG",58,64,45,49,F,0,60,0,0,1,"[194,274]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 72KG",64,72,45,49,F,0,65,0,0,1,"[204,284]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 84KG",72,84,45,49,F,0,70,0,0,1,"[214,294]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 100KG",84,100,45,49,F,0,75,0,0,1,"[224,304]",4,4
"Female Bench Only Classic Masters 2 (45 – 49 years) 100+KG",100,500,45,49,F,0,80,0,0,1,"[234,314]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 48KG",1,48,50,54,F,0,42,0,0,1,"[164,244,324]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 53KG",48,53,50,54,F,0,47,0,0,1,"[174,254,334]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 58KG",53,58,50,54,F,0,52,0,0,1,"[184,264,344]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 64KG",58,64,50,54,F,0,57,0,0,1,"[194,274,354]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 72KG",64,72,50,54,F,0,62,0,0,1,"[204,284,364]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 84KG",72,84,50,54,F,0,67,0,0,1,"[214,294,374]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 100KG",84,100,50,54,F,0,72,0,0,1,"[224,304,384]",4,4
"Female Bench Only Classic Masters 3 (50 – 54 years) 100+KG",100,500,50,54,F,0,77,0,0,1,"[234,314,394]",4,4
