Title,MinWeight,MaxWeight,MinAge,MaxAge,Gender,StandardSquat,StandardBench,StandardDeadlift,StandardTotal,Active,Override,Affiliation,LiftType
"Female Bench Only Equipped Masters 3 (50 – 54 years) 58KG",53,58,50,54,F,0,57,0,0,1,"[""115"",""123"",""131""]",1,2
"Female Bench Only Equipped Masters 3 (50 – 54 years) 64KG",58,64,50,54,F,0,62,0,0,1,"[""116"",""124"",""132""]",1,2
"Female Bench Only Equipped Masters 3 (50 – 54 years) 72KG",64,72,50,54,F,0,67,0,0,1,"[""117"",""125"",""133""]",1,2
"Female Bench Only Equipped Masters 3 (50 – 54 years) 84KG",72,84,50,54,F,0,72,0,0,1,"[""118"",""126"",""134""]",1,2
"Female Bench Only Equipped Masters 3 (50 – 54 years) 100KG",84,100,50,54,F,0,77,0,0,1,"[""119"",""127"",""135""]",1,2
"Female Bench Only Equipped Masters 3 (50 – 54 years) 100+KG",100,500,50,54,F,0,82,0,0,1,"[""120"",""128"",""136""]",1,2
"Female Bench Only Equipped Masters 4 (55 – 59 years) 48KG",1,48,55,59,F,0,42,0,0,1,"[""113"",""121"",""129"",""137""]",1,2
"Female Bench Only Equipped Masters 4 (55 – 59 years) 53KG",48,53,55,59,F,0,47,0,0,1,"[""114"",""122"",""130"",""138""]",1,2
"Female Bench Only Equipped Masters 4 (55 – 59 years) 58KG",53,58,55,59,F,0,52,0,0,1,"[""115"",""123"",""131"",""139""]",1,2
"Female Bench Only Equipped Masters 4 (55 – 59 years) 64KG",58,64,55,59,F,0,57,0,0,1,"[""116"",""124"",""132"",""140""]",1,2
"Female Bench Only Equipped Masters 4 (55 – 59 years) 72KG",64,72,55,59,F,0,62,0,0,1,"[""117"",""125"",""133"",""141""]",1,2
"Female Bench Only Equipped Masters 4 (55 – 59 years) 84KG",72,84,55,59,F,0,67,0,0,1,"[""118"",""126"",""134"",""142""]",1,2
"Female Bench Only Equipped Masters 4 (55 – 59 years) 100KG",84,100,55,59,F,0,72,0,0,1,"[""119"",""127"",""135"",""143""]",1,2
"Female Bench Only Equipped Masters 4 (55 – 59 years) 100+KG",100,500,55,59,F,0,77,0,0,1,"[""120"",""128"",""136"",""144""]",1,2
"Female Bench Only Equipped Masters 5 (60 – 64 years) 48KG",1,48,60,64,F,0,37,0,0,1,"[""113"",""121"",""129"",""137"",""145""]",1,2
"Female Bench Only Equipped Masters 5 (60 – 64 years) 53KG",48,53,60,64,F,0,42,0,0,1,"[""114"",""122"",""130"",""138"",""146""]",1,2
"Female Bench Only Equipped Masters 5 (60 – 64 years) 58KG",53,58,60,64,F,0,47,0,0,1,"[""115"",""123"",""131"",""139"",""147""]",1,2
"Female Bench Only Equipped Masters 5 (60 – 64 years) 64KG",58,64,60,64,F,0,52,0,0,1,"[""116"",""124"",""132"",""140"",""148""]",1,2
"Female Bench Only Equipped Masters 5 (60 – 64 years) 72KG",64,72,60,64,F,0,57,0,0,1,"[""117"",""125"",""133"",""141"",""149""]",1,2
"Female Bench Only Equipped Masters 5 (60 – 64 years) 84KG",72,84,60,64,F,0,62,0,0,1,"[""118"",""126"",""134"",""142"",""150""]",1,2
"Female Bench Only Equipped Masters 5 (60 – 64 years) 100KG",84,100,60,64,F,0,67,0,0,1,"[""119"",""127"",""135"",""143"",""151""]",1,2
"Female Bench Only Equipped Masters 5 (60 – 64 years) 100+KG",100,500,60,64,F,0,72,0,0,1,"[""120"",""128"",""136"",""144"",""152""]",1,2
"Female Bench Only Equipped Masters 6 (65 – 69 years) 48KG",1,48,65,69,F,0,32,0,0,1,"[""113"",""121"",""129"",""137"",""145"",""153""]",1,2
"Female Bench Only Equipped Masters 6 (65 – 69 years) 53KG",48,53,65,69,F,0,37,0,0,1,"[""114"",""122"",""130"",""138"",""146"",""154""]",1,2
"Female Bench Only Equipped Masters 6 (65 – 69 years) 58KG",53,58,65,69,F,0,40,0,0,1,"[""115"",""123"",""131"",""139"",""147"",""155""]",1,2
"Female Bench Only Equipped Masters 6 (65 – 69 years) 64KG",58,64,65,69,F,0,45,0,0,1,"[""116"",""124"",""132"",""140"",""148"",""156""]",1,2
"Female Bench Only Equipped Masters 6 (65 – 69 years) 72KG",64,72,65,69,F,0,50,0,0,1,"[""117"",""125"",""133"",""141"",""149"",""157""]",1,2
"Female Bench Only Equipped Masters 6 (65 – 69 years) 84KG",72,84,65,69,F,0,52,0,0,1,"[""118"",""126"",""134"",""142"",""150"",""158""]",1,2
"Female Bench Only Equipped Masters 6 (65 – 69 years) 100KG",84,100,65,69,F,0,55,0,0,1,"[""119"",""127"",""135"",""143"",""151"",""159""]",1,2
"Female Bench Only Equipped Masters 6 (65 – 69 years) 100+KG",100,500,65,69,F,0,60,0,0,1,"[""120"",""128"",""136"",""144"",""152"",""160""]",1,2
"Female Bench Only Equipped Masters 7 (70 – 74 years) 48KG",1,48,70,74,F,0,28,0,0,1,"[""113"",""121"",""129"",""137"",""145"",""153"",""161""]",1,2
"Female Bench Only Equipped Masters 7 (70 – 74 years) 53KG",48,53,70,74,F,0,32,0,0,1,"[""114"",""122"",""130"",""138"",""146"",""154"",""162""]",1,2
"Female Bench Only Equipped Masters 7 (70 – 74 years) 58KG",53,58,70,74,F,0,37,0,0,1,"[""115"",""123"",""131"",""139"",""147"",""155"",""163""]",1,2
"Female Bench Only Equipped Masters 7 (70 – 74 years) 64KG",58,64,70,74,F,0,40,0,0,1,"[""116"",""124"",""132"",""140"",""148"",""156"",""164""]",1,2
"Female Bench Only Equipped Masters 7 (70 – 74 years) 72KG",64,72,70,74,F,0,45,0,0,1,"[""117"",""125"",""133"",""141"",""149"",""157"",""165""]",1,2
"Female Bench Only Equipped Masters 7 (70 – 74 years) 84KG",72,84,70,74,F,0,50,0,0,1,"[""118"",""126"",""134"",""142"",""150"",""158"",""166""]",1,2
"Female Bench Only Equipped Masters 7 (70 – 74 years) 100KG",84,100,70,74,F,0,52,0,0,1,"[""119"",""127"",""135"",""143"",""151"",""159"",""167""]",1,2
"Female Bench Only Equipped Masters 7 (70 – 74 years) 100+KG",100,500,70,74,F,0,57,0,0,1,"[""120"",""128"",""136"",""144"",""152"",""160"",""168""]",1,2
"Female Bench Only Equipped Masters 8 (75 – 79 years) 48KG",1,48,75,79,F,0,26,0,0,1,"[""113"",""121"",""129"",""137"",""145"",""153"",""161"",""169""]",1,2
"Female Bench Only Equipped Masters 8 (75 – 79 years) 53KG",48,53,75,79,F,0,28,0,0,1,"[""114"",""122"",""130"",""138"",""146"",""154"",""162"",""170""]",1,2
"Female Bench Only Equipped Masters 8 (75 – 79 years) 58KG",53,58,75,79,F,0,32,0,0,1,"[""115"",""123"",""131"",""139"",""147"",""155"",""163"",""171""]",1,2
"Female Bench Only Equipped Masters 8 (75 – 79 years) 64KG",58,64,75,79,F,0,37,0,0,1,"[""116"",""124"",""132"",""140"",""148"",""156"",""164"",""172""]",1,2
"Female Bench Only Equipped Masters 8 (75 – 79 years) 72KG",64,72,75,79,F,0,40,0,0,1,"[""117"",""125"",""133"",""141"",""149"",""157"",""165"",""173""]",1,2
"Female Bench Only Equipped Masters 8 (75 – 79 years) 84KG",72,84,75,79,F,0,43,0,0,1,"[""118"",""126"",""134"",""142"",""150"",""158"",""166"",""174""]",1,2
"Female Bench Only Equipped Masters 8 (75 – 79 years) 100KG",84,100,75,79,F,0,47,0,1,1,"[""119"",""127"",""135"",""143"",""151"",""159"",""167"",""175""]",1,2
"Female Bench Only Equipped Masters 8 (75 – 79 years) 100+KG",100,500,75,79,F,0,50,0,0,1,"[""120"",""128"",""136"",""144"",""152"",""160"",""168"",""176""]",1,2
"Female Bench Only Equipped Masters 9 (80+ years) 48KG",1,48,80,200,F,0,24,0,0,1,"[""113"",""121"",""129"",""137"",""145"",""153"",""161"",""169"",""177""]",1,2
"Female Bench Only Equipped Masters 9 (80+ years) 53KG",48,53,80,200,F,0,26,0,0,1,"[""114"",""122"",""130"",""138"",""146"",""154"",""162"",""170"",""178""]",1,2
"Female Bench Only Equipped Masters 9 (80+ years) 58KG",53,58,80,200,F,0,28,0,0,1,"[""115"",""123"",""131"",""139"",""147"",""155"",""163"",""171"",""179""]",1,2
